path	branch	reason
Dockerfile	8.0	Expected PHP base-image line differs by maintained PHP version branch; imagick baseline should remain aligned unless documented otherwise.
Dockerfile	8.1	Expected PHP base-image line differs by maintained PHP version branch; imagick baseline should remain aligned unless documented otherwise.
Dockerfile	8.2	Expected PHP base-image line differs by maintained PHP version branch; imagick baseline should remain aligned unless documented otherwise.
Dockerfile	8.3	Expected PHP base-image line differs by maintained PHP version branch; imagick baseline should remain aligned unless documented otherwise.
Dockerfile	8.4	Expected PHP base-image line differs by maintained PHP version branch; imagick baseline should remain aligned unless documented otherwise.
README.md	8.0	Version-branch README may intentionally describe its own branch while sharing the same support policy.
README.md	8.1	Version-branch README may intentionally describe its own branch while sharing the same support policy.
README.md	8.2	Version-branch README may intentionally describe its own branch while sharing the same support policy.
README.md	8.3	Version-branch README may intentionally describe its own branch while sharing the same support policy.
README.md	8.4	Version-branch README may intentionally describe its own branch while sharing the same support policy.
